stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Koratagere Doddy,,KRTD1,31236,Koratagere Doddy (Towards Ragihalli),12.72938,77.57039,,
KoratagereDoddy Bannerughatta,,KRTGR,31238,KoratagereDoddy Bannerughatta (Towards Ragihalli),12.73267,77.5832,,
KoratagereDoddy Bannerughatta,,KRTGR,33574,KoratagereDoddy Bannerughatta (Towards Koratagere Doddy Bannerughatta),12.73271,77.58317,,
Koshys Hospital Kalkere,,KHP-1,31242,Koshys Hospital Kalkere (Towards B Channasandra),13.02067,77.67701,,
Koshys Hospital Kalkere,,KHP-1,33576,Koshys Hospital Kalkere (Towards TC Palya),13.02077,77.67708,,
Kotalammana Devasthana,,ktmrd,31244,Kotalammana Devasthana (Towards Devanahalli),13.31899,77.69459,,
Kotalammana Devasthana,,ktmrd,33577,Kotalammana Devasthana (Towards Nandi),13.31922,77.69423,,
Kothaganahalli,,KGNH,33578,Kothaganahalli (Towards Kothaganahalli),13.01189,77.28453,,
Kothanur Dinne Water Tank,,WTK1,23457,Kothanur Dinne Water Tank (Towards Jambu Savari dinne),12.87455,77.58419,,
Kothanur Dinne Water Tank,,WTK1,23469,Kothanur Dinne Water Tank (Towards Puttenahalli),12.87444,77.58413,,
Kothanuru,,KOTNR,22195,Kothanuru (Towards Bagaluru),13.06181,77.64891,,
Kothanuru,,KOTNR,22196,Kothanuru (Towards Hennur),13.06182,77.64893,,
Kothanuru Dinne Ganesha Temple,,KDGT1,23456,Kothanuru Dinne Ganesha Temple (Towards Jambu Savari Dinne),12.87711,77.58399,,
Kothanuru Dinne Ganesha Temple,,KDGT1,23470,Kothanuru Dinne Ganesha Temple (Towards Puttenahalli),12.87705,77.58395,,
Kothanuru Hari Nagara,,KTNH,31248,Kothanuru Hari Nagara (Towards Kothanuru Dinne),12.87655,77.5772,,
Kothanuru Hari Nagara,,KTNH,33579,Kothanuru Hari Nagara (Towards Chunchagatta),12.87651,77.57716,,
Kotiganahalli,,KOTGN,31250,Kotiganahalli (Towards Sarjapura),12.83635,77.76852,,
Kotiganahalli,,KOTGN,33580,Kotiganahalli (Towards Bikkanahalli),12.83638,77.76865,,
Kottanayakana halli,,KTN,31251,Kottanayakana halli (Towards Bommasandra),12.81302,77.68262,,
Kottigepalya,,KTP,20936,Kottigepalya (Towards Kamakshipalya),12.98786,77.51405,,
Kottigepalya,,KTP,20937,Kottigepalya (Towards Sunkadakatte),12.98787,77.51509,,
Kotur,,KTR5,35292,Kotur (Towards Mustsandra/Harohalli),12.94529,77.78265,,
Kotur Gate,,KTRGTR,24205,Kotur Gate (Towards Muthsandra),12.94773,77.77562,,
Kotur Gate,,KTRGTR,24207,Kotur Gate (Towards Varthuru),12.94769,77.77561,,
Koyira,,KRIL,31254,Koyira (Towards Meesaganahalli),13.30346,77.64107,,
Koyira,,KRIL,33581,Koyira (Towards Chapparadakallu),13.3035,77.64116,,
