table_name,field_name,record_id,language,translation
stops,stop_name,40385,kn,ಫೆಡರಲ್‌ ಬ್ಯಾಂಕ್ (ಟುವರ್ಡ್ಸ್  ಎ ಜಿ ಎಸ್‌ ಲೇಔಟ್)
stops,stop_name,25357,kn,ಗವಿಯಪ್ಪ ತಿಮ್ಮಯ್ಯ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಎಜಿಎಸ್‌ ಬಡಾವಣೆ ಅರೇಹಳ್ಳಿ)
stops,stop_name,35090,kn,ಇಟ್ಟಮಡು (ಟುವರ್ಡ್ಸ್  ಎಜಿಎಸ್ ಬಡಾವಣೆ ಕ್ರಾಸ್)
stops,stop_name,21747,kn,ಯೂನಿವರ್ ಸಿಟಿ ಕ್ವಾರ್ಟರ್ಸ್ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜ್)
stops,stop_name,21581,kn,ಎನ್‌ ಜಿ ಇ ಎಫ್‌ ಬಡಾವಣೆ ನಾಗರಭಾವಿ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜು)
stops,stop_name,21629,kn,12ನೇ ಬ್ಲಾಕ್ ನಾಗರಭಾವಿ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜ್)
stops,stop_name,22249,kn,ಮಾನಸ ನಗರ (ಟುವರ್ಡ್ಸ್  ಎ ಐ ಟಿ ಕಾಲೇಜು)
stops,stop_name,35384,kn,ನಾಗರಭಾವಿ ವೃತ್ತ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜು)
stops,stop_name,24133,kn,ಸಂಪಂಗಿರಾಮ ನಗರ (ಟುವರ್ಡ್ಸ್  ಎ ಎಂ ಸಿ ಕಾಲೇಜು)
stops,stop_name,24132,kn,ರಾಯನ್ ಇಂಟರ್ನೇಷನಲ್ ಸ್ಕೂಲ್ (ಟುವರ್ಡ್ಸ್  ಎಎಂಸಿ ಕಾಲೇಜ್)
stops,stop_name,23618,kn,ಹಾರೋಹಳ್ಳಿ ಘಟಕ (ಟುವರ್ಡ್ಸ್  ಎಪಿಎಸ್‌ ಕಾಲೇಜು)
stops,stop_name,35474,kn,ಅಂಜನಾಪುರ 1ನೇ ಬ್ಲಾಕ್ (ಟುವರ್ಡ್ಸ್  ಅಂಜನಾಪುರ 2ನೇ ಬ್ಲಾಕ್)
stops,stop_name,31036,kn,ಕೆರೆ ಗುಡ್ಡದಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  ಅಬ್ಬಿಗೆರೆ ಕ್ರಾಸ್)
stops,stop_name,29430,kn,ಅಬ್ಬಿಗೆರೆ (ಟುವರ್ಡ್ಸ್  ಅಬ್ಬಿಗೆರೆ ಕ್ರಾಸ್)
stops,stop_name,28496,kn,ಲಕ್ಷ್ಮೀಪುರ (ಟುವರ್ಡ್ಸ್  ಅಬ್ಬಿಗೆರೆ ಕ್ರಾಸ್)
stops,stop_name,20982,kn,ಮಹಾರಾಣಿ ಕಾಲೇಜ್ (ಟುವರ್ಡ್ಸ್  ಅಕೌಂಟ್‌ ಜನರಲ್‌ ಕಛೇರಿ)
stops,stop_name,34477,kn,ಸಾಸುವೆಘಟ್ಟ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಆಚಾರ್ಯ ಕಾಲೇಜು)
stops,stop_name,34786,kn,ತಮ್ಮೇನಹಳ್ಳಿ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಆಚಾರ್ಯ ಕಾಲೇಜ್)
stops,stop_name,33104,kn,ಜನಪ್ರಿಯ ಅಪಾರ್ಟ್ ಮೆಂಟ್ (ಟುವರ್ಡ್ಸ್  ಆಚಾರ್ಯ ಕಾಲೇಜು)
stops,stop_name,34476,kn,ಸಾಸುವೆಘಟ್ಟ (ಟುವರ್ಡ್ಸ್  ಆಚಾರ್ಯ ಕಾಲೇಜು)
stops,stop_name,25274,kn,ಗಣಪತಿ ನಗರ ರಾಘವೇಂದ್ರ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಆಚಾರ್ಯ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್‌ ಆಫ್‌ ಟೆಕ್ನಾಲಜಿ)
stops,stop_name,34403,kn,ರಾವುತ್ತನಹಳ್ಳಿ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಅಡಕಿಮಾರನಹಳ್ಳಿ ಕ್ರಾಸ್)
stops,stop_name,34631,kn,ಸೊಲ್ಲೆಪುರ (ಟುವರ್ಡ್ಸ್  ಅಡಿಗೊಂಡನಹಳ್ಳಿ)
stops,stop_name,33132,kn,ಜಿಗಳ (ಟುವರ್ಡ್ಸ್  ಅಡಿಗೊಂಡನಹಳ್ಳಿ)
